Symbol,MyID,Name,IsETF
KZR,10466,Kezar Life Sciences Inc,0
L,4476,Loews Corp.,0
LC,4509,LendingClub Corp,0
LDOS,4521,Leidos Holdings Inc,0
LEN,4536,Lennar Corp. - Class A,0
LGND,4557,"Ligand Pharmaceuticals, Inc. - Class B",0
LH,4558,Laboratory Corp. Of America Holdings,0
LHX,11710,L3Harris Technologies Inc,0
LIN,10989,Linde Plc.,0
LKQ,4583,LKQ Corp,0
LLY,4592,Lilly(Eli) & Co,0
LMT,4609,Lockheed Martin Corp.,0
LNC,4611,Lincoln National Corp.,0
LNT,4619,Alliant Energy Corp.,0
LODE,4624,Comstock Inc,0
LOW,4632,"Lowe`s Cos., Inc.",0
LPSN,4641,Liveperson Inc,0
LQD,4647,BlackRock Institutional Trust Company N.A. - iShares iBoxx USD Investment Grade Corporate Bond ETF,0
LRCX,4651,Lam Research Corp.,0
LRMR,15082,Larimar Therapeutics Inc,0
LSTR,4659,"Landstar System, Inc.",0
LULU,4677,Lululemon Athletica inc.,0
LUMN,15585,Lumen Technologies Inc,0
LUV,4679,Southwest Airlines Co,0
LVS,4689,Las Vegas Sands Corp,0
LW,4690,Lamb Weston Holdings Inc,0
LYB,4699,LyondellBasell Industries NV - Class A,0
LYV,4702,Live Nation Entertainment Inc,0
MA,4705,Mastercard Incorporated - Class A,0
MAA,4706,"Mid-America Apartment Communities, Inc.",0
MAR,4722,"Marriott International, Inc. - Class A",0
MAS,4726,Masco Corp.,0
MATX,4733,Matson Inc,0
MBB,4738,BlackRock Institutional Trust Company N.A. - iShares MBS ETF,0
MCD,4759,McDonald`s Corp,0
MCHP,4765,"Microchip Technology, Inc.",0
MCK,4768,Mckesson Corporation,0
MCO,4770,Moody`s Corp.,0
MCRB,4772,Seres Therapeutics Inc,0
MDGL,4784,Madrigal Pharmaceuticals Inc,0
MDLZ,4790,Mondelez International Inc. - Class A,0
MDT,4796,Medtronic Plc,0
MDY,4802,State Street Global Advisors - S&P MidCap 400 ETF,0
MEDP,4807,Medpace Holdings Inc,0
MELI,4811,MercadoLibre Inc,0
MESO,4822,Mesoblast Ltd - ADR,0
MET,4823,Metlife Inc,0
META,21760,Meta Platforms Inc - Class A,0
MGA,4843,Magna International Inc.,0
MGM,4853,MGM Resorts International,0
MGNX,4854,Macrogenics Inc,0
MGTA,10467,Magenta Therapeutics Inc,0
MGTX,10422,MeiraGTx Holdings plc,0
MGY,10641,Magnolia Oil & Gas Corp - Class A,0
MHK,4869,"Mohawk Industries, Inc.",0
MINT,4896,Pimco Exchange Traded Fund - PIMCO Enhanced Short Maturity Active Exchange-Traded Fund,0
MKC,4908,"McCormick & Co., Inc. (Non Voting)",0
MKTX,4912,MarketAxess Holdings Inc.,0
MLM,4917,"Martin Marietta Materials, Inc.",0
MMC,4940,"Marsh & McLennan Cos., Inc.",0
MMM,4945,3M Co.,0
MNKD,4961,Mannkind Corp,0
MNOV,4962,Medicinova Inc,0
MNST,4968,Monster Beverage Corp.,0
MO,4971,Altria Group Inc.,0
MOH,4982,Molina Healthcare Inc,0
MOR,10266,Morphosys AG - ADR,0
MOS,4991,Mosaic Company,0
MPC,5002,Marathon Petroleum Corp,0
MPWR,5011,Monolithic Power System Inc,0
MRK,5023,Merck & Co Inc,0
MRNA,11193,Moderna Inc,0
MRNS,5025,Marinus Pharmaceuticals Inc,0
MRO,5026,Marathon Oil Corporation,0
MRSN,8567,Mersana Therapeutics Inc,0
MRTX,5030,Mirati Therapeutics Inc,0
MRVL,5033,Marvell Technology Inc,0
MS,5034,Morgan Stanley,0
MSB,5037,Mesabi Trust,0
MSCI,5042,MSCI Inc,0
MSFT,5051,Microsoft Corporation,0
MSI,5055,Motorola Solutions Inc,0
MTB,5067,M & T Bank Corp,0
MTD,5074,"Mettler-Toledo International, Inc.",0
MTDR,5075,Matador Resources Co,0
MTLS,5086,Materialise Nv - ADR,0
MTR,5091,Mesa Royalty Trust,0
MTUM,5099,BlackRock Institutional Trust Company N.A. - iShares MSCI USA Momentum Factor ETF,0
MU,5103,Micron Technology Inc.,0
MUB,5105,BlackRock Institutional Trust Company N.A. - iShares National Muni Bond ETF,0
